team1,team2,priority1,color1,priority2,color2,similarity
ARI,ATL,1,#97233F,2,#000000,167.3170642821586
ARI,BAL,1,#97233F,2,#000000,167.3170642821586
ARI,BUF,1,#97233F,1,#00338D,170.70735192135106
ARI,CAR,1,#97233F,1,#0085CA,227.43350676626343
ARI,CHI,2,#000000,2,#C83803,207.7137453323684
ARI,CIN,1,#97233F,2,#000000,167.3170642821586
ARI,CLE,2,#000000,2,#FF3C00,261.9637379485947
ARI,DAL,1,#97233F,1,#003594,174.21251390184347
ARI,DEN,1,#97233F,2,#002244,151.08606818631557
ARI,DET,1,#97233F,1,#0076B6,209.40630363004834
ARI,GB,1,#97233F,2,#FFB612,185.60711193270586
ARI,HOU,2,#000000,2,#A71930,175.55056251689996
ARI,IND,1,#97233F,1,#002C5F,154.6156525064652
ARI,JAX,1,#97233F,4,#006778,175.13994404475525
ARI,KC,1,#97233F,2,#FFB81C,185.04594024187614
ARI,LAC,1,#97233F,1,#0080C6,222.8788908802267
ARI,LAR,1,#97233F,1,#003594,174.21251390184347
ARI,LV,1,#97233F,1,#000000,167.3170642821586
ARI,MIA,1,#97233F,1,#008E97,204.9243762952568
ARI,MIN,1,#97233F,2,#FFC62F,194.01288616996553
ARI,NE,1,#97233F,1,#002244,151.08606818631557
ARI,NO,1,#97233F,1,#D3BC8D,181.91481522954638
ARI,NYG,1,#97233F,3,#A5ACAF,177.50774630984418
ARI,NYJ,1,#97233F,2,#000000,167.3170642821586
ARI,PHI,1,#97233F,1,#004C54,157.87019984784968
ARI,PIT,1,#97233F,1,#FFB612,185.60711193270586
ARI,SEA,1,#97233F,1,#002244,151.08606818631557
ARI,SF,2,#000000,1,#AA0000,170
ARI,TB,1,#97233F,4,#B1BABF,199.65219758369804
ARI,TEN,1,#97233F,2,#4B92DB,205.9927183179056
ARI,WAS,1,#97233F,2,#FFB612,185.60711193270586
ATL,ARI,1,#A71930,2,#000000,175.55056251689996
ATL,BAL,1,#A71930,2,#000000,175.55056251689996
ATL,BUF,1,#A71930,1,#00338D,192.90930511512397
ATL,CAR,1,#A71930,1,#0085CA,251.53329799452
ATL,CHI,1,#A71930,1,#0B162A,156.14416415607724
ATL,CIN,1,#A71930,2,#000000,175.55056251689996
ATL,CLE,2,#000000,2,#FF3C00,261.9637379485947
ATL,DAL,1,#A71930,1,#003594,196.65451939886864
ATL,DEN,1,#A71930,2,#002244,168.4339633209407
ATL,DET,1,#A71930,1,#0076B6,233.4394996567633
ATL,GB,1,#A71930,2,#FFB612,182.4636950190366
ATL,HOU,1,#A71930,1,#03202F,164.15236824365343
ATL,IND,1,#A71930,1,#002C5F,174.52506983238825
ATL,JAX,1,#A71930,1,#101820,151.84860881812517
ATL,KC,1,#A71930,2,#FFB81C,182.8250529878222
ATL,LAC,1,#A71930,1,#0080C6,246.9777317897304
ATL,LAR,1,#A71930,1,#003594,196.65451939886864
ATL,LV,1,#A71930,1,#000000,175.55056251689996
ATL,MIA,1,#A71930,1,#008E97,228.44474167728177
ATL,MIN,1,#A71930,2,#FFC62F,194.09791343546175
ATL,NE,1,#A71930,1,#002244,168.4339633209407
ATL,NO,1,#A71930,1,#D3BC8D,192.753728887407
ATL,NYG,1,#A71930,1,#0B2265,165.00303027520434
ATL,NYJ,1,#A71930,1,#125740,162.17583050504166
ATL,PHI,1,#A71930,1,#004C54,178.28628662911794
ATL,PIT,1,#A71930,1,#FFB612,182.4636950190366
ATL,SEA,1,#A71930,1,#002244,168.4339633209407
ATL,SF,2,#000000,1,#AA0000,170
ATL,TB,1,#A71930,4,#B1BABF,215.56901447100415
ATL,TEN,1,#A71930,1,#0C2340,156.14416415607724
ATL,WAS,1,#A71930,2,#FFB612,182.4636950190366
BAL,ARI,1,#241773,3,#FFB612,287.49086942023047
BAL,ATL,1,#241773,3,#A5ACAF,206.01456259206532
BAL,BUF,1,#241773,2,#C60C30,175.65306715227035
BAL,CAR,1,#241773,3,#BFC0BF,241.58228411868285
BAL,CHI,1,#241773,2,#C83803,201.3181561608391
BAL,CIN,1,#241773,1,#FB4F14,241.63195152959386
BAL,CLE,1,#241773,2,#FF3C00,250.10997581064214
BAL,DAL,1,#241773,3,#869397,162.09873534361705
BAL,DEN,1,#241773,1,#FB4F14,241.63195152959386
BAL,DET,1,#241773,2,#B0B7BC,224.7865654348587
BAL,GB,1,#241773,2,#FFB612,287.49086942023047
BAL,HOU,2,#000000,2,#A71930,175.55056251689996
BAL,IND,1,#241773,2,#A2AAAD,202.11135544545735
BAL,JAX,1,#241773,2,#D7A22A,238.09871902217367
BAL,KC,1,#241773,1,#E31837,200.20489504505127
BAL,LAC,1,#241773,2,#FFC20E,295.6399837640369
BAL,LAR,1,#241773,2,#FFA300,284.22878109016335
BAL,LV,1,#241773,2,#A5ACAF,206.01456259206532
BAL,MIA,1,#241773,2,#FC4C02,249.46743274423616
BAL,MIN,1,#241773,2,#FFC62F,288.4614358974177
BAL,NE,1,#241773,2,#C60C30,175.65306715227035
BAL,NO,1,#241773,1,#D3BC8D,241.92147486322912
BAL,NYG,1,#241773,3,#A5ACAF,206.01456259206532
BAL,NYJ,1,#241773,3,#FFFFFF,348.40350170456094
BAL,PHI,1,#241773,2,#A5ACAF,206.01456259206532
BAL,PIT,1,#241773,1,#FFB612,287.49086942023047
BAL,SEA,1,#241773,2,#69BE28,195.63997546513852
BAL,SF,1,#241773,1,#AA0000,178.07301873108122
BAL,TB,1,#241773,1,#D50A0A,206.2110569295449
BAL,TEN,1,#241773,2,#4B92DB,165.72869395490932
BAL,WAS,1,#241773,2,#FFB612,287.49086942023047
BUF,ARI,1,#00338D,1,#97233F,170.70735192135106
BUF,ATL,1,#00338D,1,#A71930,192.90930511512397
BUF,BAL,1,#00338D,3,#9E7C0C,216.64256276179896
BUF,CAR,1,#00338D,3,#BFC0BF,242.61492122291241
BUF,CHI,1,#00338D,2,#C83803,243.04114877937852
BUF,CIN,1,#00338D,1,#FB4F14,280.0464247227591
BUF,CLE,1,#00338D,1,#311D00,150.88406145116852
BUF,DAL,1,#00338D,3,#869397,165.14236282674412
BUF,DEN,1,#00338D,1,#FB4F14,280.0464247227591
BUF,DET,1,#00338D,2,#B0B7BC,224.96444163467257
BUF,GB,1,#00338D,2,#FFB612,311.95352217918617
BUF,HOU,1,#00338D,2,#A71930,192.90930511512397
BUF,IND,1,#00338D,2,#A2AAAD,203.54115063052976
BUF,JAX,1,#00338D,2,#D7A22A,261.43259169430274
BUF,KC,1,#00338D,1,#E31837,244.24168358410896
BUF,LAC,1,#00338D,2,#FFC20E,318.752254893985
BUF,LAR,1,#00338D,2,#FFA300,312.1698255757593
BUF,LV,1,#00338D,2,#A5ACAF,207.41745346040676
BUF,MIA,1,#00338D,2,#FC4C02,288.87713651308576
BUF,MIN,1,#00338D,2,#FFC62F,308.98220013457086
BUF,NE,1,#00338D,2,#C60C30,222.20261024569447
BUF,NO,1,#00338D,1,#D3BC8D,251.57503850740042
BUF,NYG,1,#00338D,2,#A71930,192.90930511512397
BUF,NYJ,1,#00338D,3,#FFFFFF,345.88581931036146
BUF,PHI,1,#00338D,2,#A5ACAF,207.41745346040676
BUF,PIT,1,#00338D,1,#FFB612,311.95352217918617
BUF,SEA,1,#00338D,2,#69BE28,201.36285655502607
BUF,SF,1,#00338D,1,#AA0000,226.6759802008144
BUF,TB,1,#00338D,1,#D50A0A,253.39889502521513
BUF,TEN,1,#00338D,3,#C8102E,224.16511771459895
BUF,WAS,1,#00338D,1,#5A1414,153.95453874439687
CAR,ARI,1,#0085CA,1,#97233F,227.43350676626343
CAR,ATL,1,#0085CA,1,#A71930,251.53329799452
CAR,BAL,1,#0085CA,2,#000000,241.85326129701042
CAR,BUF,1,#0085CA,2,#C60C30,278.4977558257876
CAR,CHI,1,#0085CA,1,#0B162A,195.04358487271506
CAR,CIN,1,#0085CA,1,#FB4F14,314.70780098370614
CAR,CLE,1,#0085CA,1,#311D00,232.42418118603752
CAR,DAL,1,#0085CA,2,#041E42,170.6487620816512
CAR,DEN,1,#0085CA,1,#FB4F14,314.70780098370614
CAR,DET,1,#0085CA,2,#B0B7BC,183.49931879982552
